ID,RA,Dec,Gal Long,Gal Lat,Ecl Long,Ecl Lat
229,311.574721306,51.9722222222,90.0591154348,5.49525398487,344.999451482,64.9675080762
230,319.074721306,51.9722222222,93.1080877566,2.02033336871,353.023504411,62.0403374147
231,326.574721306,51.9722222222,96.486034297,-1.12951308837,0.218465715197,59.0637679442
232,334.074721306,51.9722222222,100.177145744,-3.91037971196,6.81406212462,56.0875668136
233,341.574721306,51.9722222222,104.157879277,-6.27882857448,12.9759001493,53.149985935
234,349.074721306,51.9722222222,108.394409383,-8.19375085927,18.8241747689,50.281991183
235,356.574721306,51.9722222222,112.841119854,-9.61870467827,24.4472182199,47.5098617725
236,3.68498466481,47.1111111111,116.472483405,-15.2998493976,26.021169258,40.9087044676
237,10.477437495,47.1111111111,121.247931121,-15.7294795507,31.1804162445,38.53708404
238,17.2698903252,47.1111111111,126.047637597,-15.6538829529,36.2668763681,36.290321115
239,24.0623431554,47.1111111111,130.802596373,-15.0746688833,41.3051741224,34.1845875872
240,30.8547959856,47.1111111111,135.447089881,-14.003962454,46.3145935464,32.235063648
241,37.6472488158,47.1111111111,139.923118718,-12.4632581438,51.3099187787,30.4559752074
242,44.4397016459,47.1111111111,144.18338497,-10.4815327306,56.3020760625,28.8605554626
243,51.2321544761,47.1111111111,148.192490572,-8.09298939396,61.2986454096,27.4609492148
244,58.0246073063,47.1111111111,151.926479481,-5.33480773513,66.3042954087,26.2680766026
245,64.8170601365,47.1111111111,155.371159854,-2.24518473909,71.3211822698,25.2914723008
246,71.6095129667,47.1111111111,158.519732652,1.1381759156,76.3493431988,24.5391161381
247,78.4019657969,47.1111111111,161.370173748,4.77908485295,81.3871039539,24.0172708599
248,85.1944186271,47.1111111111,163.922655573,8.6434351737,86.4315107884,23.7303418482
249,91.9868714573,47.1111111111,166.177124141,12.6993912103,91.4787882231,23.6807716741
250,98.7793242875,47.1111111111,168.131004497,16.9172748558,96.5248168234,23.868979279
251,105.571777118,47.1111111111,169.776896268,21.2692086242,101.565620116,24.293349493
252,112.364229948,47.1111111111,171.100025828,25.7285437542,106.597847577,24.9502738891
253,119.156682778,47.1111111111,172.075117309,30.2690607624,111.619241549,25.8342391402
254,125.949135608,47.1111111111,172.662201046,34.863875569,116.629079869,26.9379546496
255,132.741588438,47.1111111111,172.800660834,39.4839057985,121.628592434,28.2525077071
256,139.534041269,47.1111111111,172.400502578,44.0956278422,126.621358141,29.7675320148
257,146.326494099,47.1111111111,171.329432794,48.6576494038,131.613697987,31.4713741337
258,153.118946929,47.1111111111,169.394140288,53.1152827093,136.615090075,33.3512419502
259,159.911399759,47.1111111111,166.315371382,57.3917994069,141.638642941,35.3933191953
260,166.703852589,47.1111111111,161.703129543,61.3745820115,146.701675244,37.5828297456
261,173.49630542,47.1111111111,155.062274221,64.8952553791,151.826463532,39.9040341531
262,180.28875825,47.1111111111,145.918971482,67.7098535421,157.041236287,42.3401377432
263,187.08121108,47.1111111111,134.218872296,69.5073793139,162.38151242,44.8730836491
264,193.87366391,47.1111111111,120.913385513,70.0012385032,167.891904369,47.4831940703
265,200.66611674,47.1111111111,107.91580555,69.0962742367,173.628522775,50.1486073443
266,207.45856957,47.1111111111,96.9347602279,66.9609798392,179.662110445,52.8444357292
267,214.251022401,47.1111111111,88.5747186386,63.9052046685,186.081943224,55.5415392203
268,221.043475231,47.1111111111,82.5949022257,60.2246857447,193.000235515,58.2047803194
269,227.835928061,47.1111111111,78.4884975443,56.1395187408,200.555996922,60.790617352
270,234.628380891,47.1111111111,75.7866472268,51.7990818289,208.915466419,63.2439799078
271,241.420833721,47.1111111111,74.1342466833,47.3034540446,218.262648444,65.4947203205
272,248.213286552,47.1111111111,73.2805734744,42.721599179,228.768048038,67.454874495
273,255.005739382,47.1111111111,73.0528913515,38.1035008334,240.520720389,69.0198140672
274,261.798192212,47.1111111111,73.3332070525,33.487744212,253.423179209,70.0784766121
275,268.590645042,47.1111111111,74.0414313463,28.9062334852,267.099492273,70.536650803
276,275.383097872,47.1111111111,75.1238783139,24.3871987474,280.922807967,70.3476018085
277,282.175550703,47.1111111111,76.5454933734,19.9571887922,294.212556101,69.5310721812
278,288.968003533,47.1111111111,78.2845164588,15.6424520642,306.473877415,68.1649436258
279,295.760456363,47.1111111111,80.3286693066,11.4699315824,317.499520968,66.3567620354
280,302.552909193,47.1111111111,82.6722428103,7.46799222904,327.314321546,64.2158159201
281,309.345362023,47.1111111111,85.3136520347,3.66692919316,336.065404093,61.8375859769
282,316.137814853,47.1111111111,88.2531549383,0.0992568240647,343.936717242,59.2994876491
283,322.930267684,47.1111111111,91.4905294039,-3.20026069869,351.104017736,56.6624897218
284,329.722720514,47.1111111111,95.0226008883,-6.19490301274,357.718043879,53.9745575014
285,336.515173344,47.1111111111,98.8406327688,-8.84669019919,3.90187279773,51.27402654
286,343.307626174,47.1111111111,102.927744122,-11.1175488549,9.75385081465,48.5923143044
287,350.100079004,47.1111111111,107.256692654,-12.9709656597,15.3519705717,45.955926531
288,356.892531835,47.1111111111,111.788506176,-14.3740557033,20.7580451661,43.3878827522
289,3.38592587589,42.25,115.478901503,-20.0726998099,22.5972753169,36.8364702132
290,9.70171534957,42.25,120.435946682,-20.5605250118,27.6273728914,34.5621506069
291,16.0175048233,42.25,125.428112558,-20.5605147643,32.5901950136,32.3892547097
292,22.3332942969,42.25,130.385154815,-20.0726692882,37.5070835728,30.3328757348
293,28.6490837706,42.25,135.239601094,-19.1073563073,42.3953571781,28.4072463984
294,34.9648732443,42.25,139.931734467,-17.6842829155,47.2688019873,26.6257915361
295,41.280662718,42.25,144.413094104,-15.8306699831,52.1380618721,25.0011193582
296,47.5964521917,42.25,148.648057371,-13.5790025664,57.0109591579,23.5449629778
297,53.9122416654,42.25,152.613602715,-10.9647463055,61.8927743562,22.2680831827
298,60.228031139,42.25,156.297722425,-8.02433292335,66.7865096115,21.1801435154
299,66.5438206127,42.25,159.697078975,-4.79358506002,71.6931561672,20.2895691987
300,72.8596100864,42.25,162.814425389,-1.30662623858,76.6119810048,19.6034019277
301,79.1753995601,42.25,165.6561398,2.40476419732,81.5408420151,19.1271626527
302,85.4911890338,42.25,168.230044339,6.31143384208,86.4765349106,18.8647339046
303,91.8069785075,42.25,170.543534821,10.3868689977,91.4151690952,18.8182717398
304,98.1227679811,42.25,172.601949774,14.6070149481,96.3525645339,18.9881549908
305,104.438557455,42.25,174.407043536,18.9499628148,101.284657998,19.37297631
306,110.754346929,42.25,175.955378173,23.3955363603,106.207905437,19.9695758102
307,117.070136402,42.25,177.236389837,27.9247860006,111.119667884,20.7731143285
308,123.385925876,42.25,178.229789793,32.5193678761,116.018571171,21.7771798924
309,129.70171535,42.25,178.901790813,37.1607471205,120.904834326,22.9739182098
310,136.017504823,42.25,179.199343692,41.8291043059,125.780567259,24.3541761403
311,142.333294297,42.25,179.041017354,46.5017183779,130.650044505,25.9076461688
312,148.649083771,42.25,178.302173666,51.1503993002,135.519967762,27.6229997593
313,154.964873244,42.25,176.790412701,55.7371477155,140.399735432,29.4879978322
314,161.280662718,42.25,174.204833828,60.20642318,145.301742062,31.4895671433
315,167.596452192,42.25,170.07140337,64.4708626512,150.241734607,33.6138316433
316,173.912241665,42.25,163.659319137,68.3848898704,155.239255667,35.8460876061
317,180.228031139,42.25,153.965461051,71.700647761,160.318205915,38.170710079
318,186.543820613,42.25,140.140122775,74.0236666702,165.507557702,40.570975775
319,192.859610086,42.25,122.931550163,74.8782524146,170.842246168,43.0287837289
320,199.17539956,42.25,105.723063221,74.0235970572,176.364246724,45.5242500462
321,205.491189034,42.25,91.8979003564,71.7005264547,182.123805677,48.0351477056
322,211.806978507,42.25,82.2042019082,68.3847363472,188.180700004,50.5361590688
323,218.122767981,42.25,75.7922325766,64.4706901748,194.60522096,52.997913341
324,224.438557455,42.25,71.6588801369,60.2062396157,201.478239585,55.3858063186
325,230.754346929,42.25,69.0733546458,55.7369576976,208.88914337,57.6586698443
326,237.070136402,42.25,67.5616313894,51.1502056872,216.929612493,59.7675141585
327,243.385925876,42.25,66.8228154423,46.5015230569,225.680382667,61.6548567678
328,249.70171535,42.25,66.6645104263,41.828908623,235.188282585,63.255582232
329,256.017504823,42.25,66.9620804443,37.1605521189,245.434003242,64.5006703347
330,262.333294297,42.25,67.6340958688,32.5191744323,256.299370377,65.3249335375
331,268.649083771,42.25,68.6275084608,27.9245949084,267.553882243,65.6783227443
332,274.964873244,42.25,69.9085316608,23.3953483851,278.881769167,65.537424052
333,281.280662718,42.25,71.4568772095,18.9497787324,289.949863554,64.911706034
334,287.596452192,42.25,73.2619816051,14.6068355735,300.484716745,63.8409251112
335,293.912241665,42.25,75.3204071689,10.3866952087,310.319243972,62.385229749
